iter	Passed	Remaining
0	294	14410
1	565	13571
2	868	13605
3	1165	13404
4	1487	13386
5	1793	13150
6	2107	12946
7	2419	12704
8	2742	12491
9	3061	12245
10	3385	12004
11	3725	11797
12	4066	11572
13	4411	11344
14	4752	11088
15	5067	10768
16	5399	10482
17	5737	10199
18	6085	9928
19	6400	9601
20	6720	9280
21	7037	8957
22	7356	8635
23	7674	8313
24	7989	7989
25	8297	7659
26	8608	7333
27	8938	7022
28	9255	6702
29	9568	6378
30	9876	6053
31	10190	5732
32	10500	5409
33	10806	5085
34	11111	4762
35	11412	4438
36	11724	4119
37	12024	3797
38	12326	3476
39	12631	3157
40	12932	2838
41	13235	2520
42	13531	2202
43	13841	1887
44	14134	1570
45	14435	1255
46	14742	940
47	15035	626
48	15331	312
49	15623	0
