iter	Passed	Remaining
0	1144	113274
1	2304	112924
2	3448	111494
3	4586	110077
4	5718	108648
5	6745	105686
6	7921	105243
7	9069	104302
8	10252	103659
9	11438	102949
10	12608	102018
11	13810	101280
12	14975	100218
13	16174	99359
14	17352	98330
15	18537	97319
16	19729	96326
17	20890	95167
18	22112	94271
19	23306	93225
20	24502	92177
21	25696	91105
22	26906	90078
23	28080	88921
24	29276	87830
25	30484	86763
26	31709	85734
27	32919	84649
28	34219	83778
29	35491	82814
30	36722	81736
31	37943	80630
32	39167	79522
33	40391	78407
34	41637	77325
35	42872	76218
36	44084	75061
37	45307	73921
38	46512	72749
39	47753	71630
40	48977	70479
41	50230	69366
42	51479	68240
43	52736	67119
44	53990	65988
45	55175	64771
46	56386	63585
47	57636	62439
48	58870	61273
49	60105	60105
50	61335	58930
51	62553	57742
52	63828	56602
53	65100	55456
54	66369	54301
55	67639	53145
56	68871	51955
57	70140	50791
58	71384	49606
59	72646	48430
60	73877	47233
61	75098	46028
62	76368	44851
63	77688	43699
64	78951	42512
65	80130	41279
66	81366	40075
67	82709	38922
68	83931	37708
69	85213	36520
70	86497	35329
71	87787	34139
72	89063	32941
73	90349	31744
74	91590	30530
75	92853	29322
76	94139	28119
77	95457	26923
78	96715	25709
79	98027	24506
80	99300	23292
81	100581	22078
82	101853	20861
83	103130	19643
84	104418	18426
85	105683	17204
86	106969	15983
87	108265	14763
88	109547	13539
89	110775	12308
90	112066	11083
91	113355	9857
92	114623	8627
93	115893	7397
94	117190	6167
95	118534	4938
96	119816	3705
97	121102	2471
98	122368	1236
99	123637	0
